Model,Accuracy,Precision,Recall,F1-Score,ROC_AUC
Gradient Boosting,0.87,0.7928286852589641,0.48894348894348894,0.6048632218844985,0.8711053117832778
CatBoost,0.8675,0.7862903225806451,0.47911547911547914,0.5954198473282443,0.8613652172974207
XGBoost,0.8515,0.6950354609929078,0.48157248157248156,0.5689404934687954,0.839255279933246
Random Forest,0.86,0.7634854771784232,0.4520884520884521,0.5679012345679012,0.8516197245010804
SVM,0.861,0.8341968911917098,0.3955773955773956,0.5366666666666666,0.826922454041098
Logistic Regression,0.808,0.5891472868217055,0.18673218673218672,0.2835820895522388,0.7747778595236223
