iter	Passed	Remaining
419	2516	3475
420	2521	3468
421	2527	3461
422	2533	3456
423	2539	3449
424	2544	3442
425	2550	3436
426	2555	3429
427	2561	3422
428	2567	3416
429	2572	3409
430	2577	3403
431	2583	3396
432	2588	3389
433	2594	3383
434	2599	3376
435	2605	3370
436	2610	3363
437	2616	3357
438	2621	3350
439	2627	3344
440	2632	3337
441	2638	3330
442	2643	3324
443	2649	3317
444	2654	3310
445	2659	3304
446	2665	3297
447	2670	3290
448	2676	3284
449	2681	3277
450	2686	3270
451	2692	3263
452	2697	3257
453	2702	3250
454	2708	3244
455	2713	3237
456	2719	3230
457	2726	3225
458	2731	3219
459	2736	3212
460	2743	3207
461	2748	3200
462	2753	3194
463	2760	3188
464	2765	3182
465	2771	3175
466	2777	3170
467	2782	3163
468	2788	3156
469	2793	3150
470	2799	3143
471	2804	3137
472	2810	3131
473	2815	3124
474	2821	3118
475	2826	3111
476	2831	3104
477	2837	3098
478	2842	3092
479	2848	3085
480	2854	3080
481	2860	3073
482	2865	3067
483	2870	3060
484	2876	3054
485	2881	3047
486	2886	3041
487	2892	3034
488	2897	3028
489	2903	3021
490	2908	3015
491	2913	3008
492	2919	3002
493	2924	2995
494	2929	2988
495	2935	2982
496	2940	2976
497	2946	2969
498	2951	2963
499	2957	2957
500	2962	2950
501	2968	2944
502	2973	2938
503	2979	2932
504	2986	2927
505	2993	2922
506	2999	2916
507	3006	2912
508	3012	2906
509	3027	2909
510	3042	2911
511	3054	2911
512	3061	2906
513	3074	2907
514	3081	2901
515	3091	2899
516	3101	2897
517	3107	2891
518	3115	2887
519	3121	2881
520	3133	2880
521	3141	2876
522	3152	2874
523	3158	2868
524	3166	2864
525	3173	2859
526	3180	2854
527	3187	2849
528	3198	2847
529	3204	2841
530	3210	2835
531	3216	2829
532	3222	2823
533	3231	2820
534	3237	2813
535	3245	2809
536	3255	2807
537	3264	2803
538	3270	2797
539	3282	2796
540	3288	2789
541	3294	2784
542	3299	2777
543	3304	2770
544	3311	2765
545	3321	2762
546	3338	2765
547	3353	2766
548	3359	2759
549	3370	2757
